day,close,pem,pep,p20,p50,p80
2013-04-08,3872.93,30.28,13.02,31.38,35.24,39.91
2013-04-09,3949.95,29.52,7.77,31.37,35.23,39.91
2013-04-10,3874.42,29.12,5.33,31.35,35.23,39.91
2013-04-11,3809.86,29.07,5.14,31.33,35.22,39.91
2013-04-12,3815.48,29.18,6.00,31.33,35.22,39.91
2013-04-15,3802.64,31.38,20.50,31.33,35.21,39.91
2013-04-16,3800.03,31.88,24.35,31.33,35.20,39.91
2013-04-17,3817.51,30.87,17.18,31.33,35.19,39.91
2013-04-18,3906.43,31.26,19.38,31.31,35.17,39.91
2013-04-19,3899.81,31.28,19.65,31.31,35.16,39.90
2013-04-22,3966.37,31.13,18.77,31.31,35.16,39.90
2013-04-23,4021.30,29.93,11.15,31.30,35.16,39.89
2013-04-24,3923.26,30.42,14.60,31.29,35.16,39.89
2013-04-25,4008.68,29.97,11.42,31.28,35.16,39.89
2013-04-26,3983.67,29.04,4.79,31.27,35.15,39.89
2013-05-02,3933.19,28.10,1.25,31.27,35.15,39.89
2013-05-03,4000.02,29.71,9.57,31.27,35.15,39.89
2013-05-06,4105.73,30.72,16.54,31.26,35.14,39.89
2013-05-07,4146.40,31.56,22.73,31.26,35.14,39.89
2013-05-08,4118.78,31.47,21.85,31.26,35.14,39.89
2013-05-09,4196.98,30.83,17.54,31.25,35.13,39.88
2013-05-10,4161.25,30.84,17.62,31.22,35.13,39.88
2013-05-13,4166.64,30.61,15.89,31.20,35.13,39.88
2013-05-14,4146.47,30.39,14.45,31.17,35.12,39.88
2013-05-15,4120.33,31.59,23.46,31.18,35.12,39.88
2013-05-16,4203.80,31.57,23.15,31.18,35.12,39.87
2013-05-17,4219.78,31.50,22.46,31.19,35.12,39.87
2013-05-20,4232.78,30.07,12.41,31.16,35.11,39.87
2013-05-21,4091.11,29.74,9.65,31.16,35.11,39.87
2013-05-22,4115.85,30.82,17.67,31.15,35.09,39.87
2013-05-23,4124.73,30.03,12.28,31.14,35.08,39.86
2013-05-24,4136.69,30.18,12.83,31.13,35.08,39.86
2013-05-27,4203.08,30.31,14.23,31.13,35.08,39.86
2013-05-28,4266.44,32.10,29.47,31.13,35.08,39.86
2013-05-29,4298.80,31.72,24.84,31.13,35.08,39.86
2013-05-30,4334.70,32.10,29.51,31.13,35.06,39.86
2013-05-31,4382.15,32.03,28.54,31.13,35.05,39.86
2013-06-03,4375.73,32.48,33.11,31.13,35.05,39.86
2013-06-04,4351.79,32.63,34.49,31.13,35.05,39.85
2013-06-05,4264.13,32.85,35.96,31.13,35.04,39.84
2013-06-06,4286.81,32.30,31.34,31.14,35.03,39.82
2013-06-07,4194.74,32.78,35.61,31.14,35.03,39.81
2013-06-13,4127.42,32.60,33.89,31.14,35.02,39.80
2013-06-14,4067.19,31.69,24.35,31.14,35.02,39.80
2013-06-17,4184.88,32.55,33.55,31.15,35.02,39.80
2013-06-18,4268.25,33.06,37.24,31.15,35.02,39.80
2013-06-19,4255.99,32.88,36.28,31.16,35.01,39.80
2013-06-20,4237.48,31.65,24.07,31.16,35.00,39.80
2013-06-21,4100.85,31.52,23.03,31.16,34.99,39.79
2013-06-24,4099.69,30.78,17.16,31.15,34.99,39.79
2013-06-25,3929.78,30.69,16.50,31.14,34.99,39.78
2013-06-26,3889.57,31.62,23.98,31.14,34.98,39.78
2013-06-27,4018.49,31.02,19.24,31.13,34.98,39.77
2013-06-28,4006.72,29.45,7.67,31.13,34.97,39.76
2013-07-01,3977.46,31.08,19.67,31.12,34.97,39.75
2013-07-02,4109.06,31.50,22.88,31.12,34.97,39.74
2013-07-03,4256.23,31.42,22.30,31.13,34.97,39.73
2013-07-04,4307.48,31.34,21.55,31.13,34.95,39.72
2013-07-05,4246.27,30.98,19.14,31.11,34.94,39.72
2013-07-08,4195.23,29.99,11.67,31.10,34.94,39.72
2013-07-09,4106.74,29.94,11.20,31.09,34.93,39.71
2013-07-10,4145.56,31.42,22.57,31.09,34.93,39.71
2013-07-11,4218.70,31.99,28.51,31.09,34.93,39.71
2013-07-12,4307.86,30.45,15.29,31.08,34.93,39.71
2013-07-15,4333.39,31.13,20.40,31.08,34.93,39.71
2013-07-16,4450.35,30.49,15.45,31.08,34.92,39.71
2013-07-17,4497.86,31.90,27.67,31.08,34.91,39.71
2013-07-18,4391.48,31.93,27.83,31.08,34.91,39.71
2013-07-19,4371.67,31.08,19.87,31.08,34.91,39.71
2013-07-22,4282.19,31.11,20.22,31.08,34.91,39.71
2013-07-23,4394.37,31.59,24.84,31.08,34.91,39.70
2013-07-24,4482.17,31.62,25.00,31.08,34.89,39.70
2013-07-25,4552.08,32.62,35.69,31.08,34.88,39.70
2013-07-26,4480.11,32.37,33.39,31.08,34.88,39.70
2013-07-29,4466.47,32.79,37.35,31.08,34.88,39.70
2013-07-30,4433.44,32.28,32.61,31.09,34.88,39.69
2013-07-31,4354.42,32.30,32.76,31.09,34.87,39.69
2013-08-01,4332.23,32.74,37.16,31.09,34.87,39.69
2013-08-02,4434.55,32.12,30.98,31.09,34.87,39.69
2013-08-05,4424.51,32.36,33.30,31.10,34.86,39.68
2013-08-06,4538.03,32.53,35.17,31.10,34.84,39.68
2013-08-07,4600.78,33.72,42.61,31.11,34.84,39.67
2013-08-08,4511.61,34.65,48.96,31.11,34.83,39.67
2013-08-09,4569.54,34.35,46.49,31.11,34.81,39.67
2013-08-12,4579.85,34.32,46.36,31.11,34.80,39.67
2013-08-13,4563.65,35.06,52.15,31.11,34.81,39.66
2013-08-14,4550.80,34.68,49.15,31.11,34.80,39.66
2013-08-15,4528.29,33.45,41.22,31.11,34.80,39.66
2013-08-16,4380.37,31.99,28.65,31.11,34.80,39.66
2013-08-19,4280.81,30.83,17.80,31.11,34.80,39.66
2013-08-20,4356.83,30.63,16.18,31.10,34.80,39.66
2013-08-21,4305.96,31.30,21.34,31.11,34.77,39.66
2013-08-22,4307.02,30.87,18.20,31.09,34.74,39.66
2013-08-23,4350.12,31.46,23.08,31.09,34.74,39.66
2013-08-26,4384.29,31.85,27.07,31.10,34.74,39.65
2013-08-27,4443.58,31.79,26.60,31.10,34.73,39.65
2013-08-28,4440.81,30.73,16.71,31.09,34.72,39.64
2013-08-29,4309.93,29.94,10.83,31.08,34.72,39.64
2013-08-30,4292.16,29.36,7.01,31.08,34.72,39.64
2013-09-02,4214.14,29.42,7.09,31.08,34.70,39.63
2013-09-03,4230.95,29.77,9.57,31.07,34.69,39.63
2013-09-04,4297.85,29.55,8.05,31.05,34.69,39.62
2013-09-05,4238.50,29.87,10.70,31.03,34.69,39.62
2013-09-06,4246.59,29.93,11.13,31.02,34.69,39.61
2013-09-09,4251.95,29.99,11.92,31.02,34.68,39.61
2013-09-10,4240.73,30.17,12.96,31.00,34.67,39.60
2013-09-11,4203.12,30.25,13.57,30.98,34.66,39.60
2013-09-12,4185.54,30.44,15.58,30.98,34.66,39.59
2013-09-13,4189.48,30.10,12.84,30.97,34.65,39.59
2013-09-16,4219.13,30.36,14.76,30.97,34.64,39.59
